county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
WAYNE,02,02,3457,509,0.0,3966.0,763,13,1656,1022,3,19,710,9,20,168,0,264,2776,147,2865,954,1959,1717,290,388,665,647,625,671,561,409,0,0,0.0,0.0
WAYNE,03,03,3238,497,0.0,3735.0,635,25,1599,979,0,17,557,4,19,182,0,249,2707,168,2591,976,1814,1637,284,415,603,620,590,631,502,374,0,0,0.0,0.0
WAYNE,04,04,4288,622,0.0,4910.0,853,23,2065,1347,0,27,772,8,18,204,0,335,3546,160,3518,1232,2383,2150,377,528,759,776,808,921,679,439,0,0,0.0,0.0
WAYNE,05,05,3425,404,0.0,3829.0,722,13,1655,1034,1,49,653,10,18,133,1,247,2718,96,2799,934,1814,1734,281,363,525,570,564,726,652,429,0,0,0.0,0.0
WAYNE,06,06,2303,323,0.0,2626.0,786,9,863,645,0,37,873,6,6,124,0,174,1406,82,1814,730,1326,1110,190,230,345,364,374,474,449,390,0,0,0.0,0.0
WAYNE,07,07,4019,671,0.0,4690.0,1121,30,1616,1251,1,32,1139,7,20,208,0,360,2924,182,3220,1288,2301,2008,381,453,750,803,702,817,701,464,0,0,0.0,0.0
WAYNE,08,08,2477,427,0.0,2904.0,459,11,1218,788,1,7,400,5,12,163,0,210,2107,160,1969,775,1408,1256,240,342,445,443,416,511,427,320,0,0,0.0,0.0
WAYNE,09,09,2313,330,0.0,2643.0,496,10,1132,674,1,37,414,4,9,139,1,146,1893,112,1913,618,1292,1178,173,264,366,349,423,468,462,311,0,0,0.0,0.0
WAYNE,10,10,1377,345,0.0,1722.0,738,6,241,389,3,9,1022,2,11,70,0,207,401,52,1059,611,879,639,204,170,270,262,258,250,312,200,0,0,0.0,0.0
WAYNE,11,11,2105,422,0.0,2527.0,987,7,536,573,2,43,1141,5,11,106,1,183,1037,78,1735,714,1360,963,204,199,386,363,310,370,450,449,0,0,0.0,0.0
WAYNE,12,12,2809,613,0.0,3422.0,1224,18,734,832,1,70,1449,7,22,162,0,265,1447,120,2334,968,1823,1319,280,346,569,474,425,521,610,477,0,0,0.0,0.0
WAYNE,13,13,1616,319,0.0,1935.0,803,12,332,468,1,18,1010,4,9,91,1,163,639,79,1255,601,1001,756,178,217,283,286,237,344,317,251,0,0,0.0,0.0
WAYNE,14,14,3042,367,0.0,3409.0,639,15,1474,914,0,35,490,2,14,190,0,223,2455,149,2368,892,1707,1467,235,299,442,507,478,575,602,506,0,0,0.0,0.0
WAYNE,15,15,2828,579,0.0,3407.0,657,16,1207,946,2,16,599,7,18,442,0,288,2037,467,2027,913,1637,1470,300,477,641,488,438,530,502,331,0,0,0.0,0.0
WAYNE,16,16,1962,368,0.0,2330.0,575,15,773,598,1,9,629,2,12,158,0,152,1368,151,1556,623,1175,987,168,252,370,328,343,382,368,287,0,0,0.0,0.0
