county,registered_youth,registered_total
CUMBERLAND 3-G8,215,2035
CUMBERLAND 4-G8,367,3184
DENTON #12,90,873
DOVER-FORT BARNWELL,75,769
DUCK,28,701
DUNBAR #30,183,1540
EAST LAKE,7,93
EAST MOYOCK,261,3294
EASTOVER 1,299,2892
EASTOVER 2,244,2089
EASTSIDE #38,146,1045
EMMONS # 14,162,1834
FAIRFIELD HARBOUR,142,3321
FORT TOTTEN,206,2097
FRISCO,49,746
GEORGE STREET,115,1903
GIBBS WOODS,19,307
GLENBURNIE-GROVER C,275,3290
GRANTHAM 1A,398,3973
GRANTHAM 2B,460,5645
GRIMES #36,105,1093
GUMTREE # 16,288,2974
H.J. MACDONALD,455,4347
HARLOWE,225,2960
HATTERAS,31,501
HAVELOCK,1391,8823
HEALING SPRINGS #18,132,2149
HOLLY GROVE #20,243,2635
HOPE MILLS 1A-G8,263,2567
HOPE MILLS 2A-G9,557,4131
HOPE MILLS 2B-G9,636,4458
HOPE MILLS 3A,281,2500
HOPE MILLS 4-G10,256,2573
INDIAN RIDGE,99,1225
JASPER,191,2095
JUDSON-VANDER-G1,413,3739
KILL DEVIL HILLS,439,5751
KITTY HAWK,284,3021
KNOTTS ISLAND,74,972
LAKE RIM,493,4315
LEES,174,1672
LEXINGTON 1 #22,106,946
LEXINGTON 2 #24,188,1741
LEXINGTON 3 #26,120,1187
LEXINGTON 4 #28,264,2654
LIBERTY #42,254,2459
LINDEN,356,3384
LONGHILL,577,5206
MANCHESTER-G11,996,4006
MANNS HARBOR,38,454
MANTEO,453,4799
MIDWAY #44,346,3650
MONTIBELLO,288,2501
MORGANTON RD 2,273,2488
MUNICIPAL #40,154,1832
NAGS HEAD,172,2598
NAKINA HILL,198,1870
NORTH DAVIDSON # 46,219,2442
NW WHITEVILLE,136,1484
PEARCES MILL 2A-G3,408,3262
PEARCES MILL 2C,289,2416
PEARCES MILL 3-G3,110,1239
PEARCES MILL 4-G4,182,1670
POPLAR BRANCH,334,3767
POWELLS POINT,127,1718
RANSOM,268,3031
REEDS/YADKIN COLLEGE #48,219,2339
REEDY CREEK #50,321,3480
RIVER BEND,115,2318
ROBBINS #32,177,1286
SHERWOOD,336,2713
SILVER HILL #52,419,4333
SILVER VALLEY #54,170,1779
SOUTH DAVIDSON #56,107,1273
SOUTH WHITEVILLE,170,1781
SOUTH WILLIAMS,245,2791
SOUTHERN SHORES,232,3390
SOUTHMONT #58,262,3232
SPRING LAKE 3,533,4089
STEDMAN-G6,477,4501
STONEY POINT 1-G10,574,3812
STONEY POINT 2-G10,620,4706
STUMPY POINT,11,150
TATUM,191,2002
THOMASVILLE 1 #60,459,3940
THOMASVILLE 10 #76,266,2985
THOMASVILLE 2 #62,202,1448
THOMASVILLE 3 #64,144,1349
THOMASVILLE 4 #66,175,1553
THOMASVILLE 5 #68,192,1881
THOMASVILLE 7 #70,210,2244
THOMASVILLE 8 #72,387,2942
THOMASVILLE 9 #74,327,3618
TRENT WOODS,241,3385
TRUITT-ERNUL,110,1280
TYRO #78,332,3357
VAN-EP,349,3856
WADE-G7,130,1122
WALLBURG #80A,520,5322
WANCHESE,91,1018
WELCOME #82,270,2824
WESLEY HEIGHTS #34,189,1612
WEST ARCADIA #84,428,5637
WEST MOYOCK,407,3929
WEST NEW BERN,346,4439
WESTAREA-1-G2,220,1806
WESTAREA-2-G2,249,2161
WHALEHEAD,41,989
WHITEVILLE 1,208,2177
WHITEVILLE MID,288,2580
WILLIAMS,337,3008
01,588,5637
02,2451,9807
03,965,8090
04,872,8974
05,3078,10197
06,665,6807
07,894,9184
08,487,5136
09,441,4708
10,315,3773
12,343,3456
13,334,2573
14,627,5340
15,545,4125
17,409,4589
18,436,3034
19,317,2979
20,160,1891
21,186,3011
22,658,5400
23,866,7700
24,495,5965
25,264,3031
26,328,3333
27,330,4396
28,713,6326
29,609,5354
30-2,718,7047
30-3,524,4867
30-4,355,4982
31,592,7023
32,275,7660
33-1,342,5735
33-2,437,5246
34-1,273,3215
34-2,600,5136
35-4,399,4590
35-5,336,4286
36,283,2396
37,428,5890
38,637,6607
40,128,1905
41,110,1191
42,141,1107
43,596,6554
44,505,6339
45,408,4911
46,281,2829
47,175,1687
50,327,3592
51,315,5170
52,458,3084
53-2,391,4547
54,578,6744
55-11,183,1498
55-49,1427,1671
56,437,4651
57,352,4627
ALBERTSON,197,1245
BEULAVILLE,269,2699
CALYPSO,78,657
CEDAR FORK,70,665
CHARITY,138,1197
CHINQUAPIN,95,1243
CLARKSVILLE,255,2621
COOLEEMEE,180,1669
EAST SHADY GROVE,257,2672
FAISON,169,1196
FARMINGTON,234,2595
FULTON,146,1634
GLISSON,84,673
HALLSVILLE,151,1294
HILLSDALE,193,3276
JERUSALEM,159,1645
KENANSVILLE,271,2743
MAGNOLIA,168,1196
NORTH CALAHALN,84,1169
NORTH MOCKS-CITY,210,2096
NORTH MOCKS-COUNTY,213,2377
