precinct_id,registered_rep,voted_rep_2024,rep_turnout,registered_dem,voted_dem_2024,dem_turnout,registered_una,voted_una_2024,una_turnout,rep_minus_dem,rep_minus_una,dem_minus_una
ASHE_17,425,344,0.8094117647058824,100,78,0.78,268,177,0.6604477611940298,0.02941176470588236,0.14896400351185257,0.11955223880597021
ASHE_18,86,67,0.7790697674418605,20,16,0.8,50,29,0.58,-0.020930232558139528,0.19906976744186056,0.22000000000000008
ASHE_20,1355,1074,0.792619926199262,560,421,0.7517857142857143,1195,842,0.704602510460251,0.04083421191354775,0.088017415739011,0.04718320382546326
AVERY_01,530,433,0.8169811320754717,68,53,0.7794117647058824,349,255,0.7306590257879656,0.03756936736958938,0.08632210628750614,0.04875273891791676
AVERY_02,1102,821,0.7450090744101633,338,232,0.6863905325443787,981,639,0.6513761467889908,0.058618541865784635,0.09363292762117248,0.035014385755387845
AVERY_03,293,243,0.8293515358361775,23,18,0.782608695652174,144,105,0.7291666666666666,0.04674284018400354,0.10018486916951086,0.05344202898550732
AVERY_04,64,51,0.796875,9,7,0.7777777777777778,30,24,0.8,0.01909722222222221,-0.0031250000000000444,-0.022222222222222254
AVERY_05,216,169,0.7824074074074074,23,15,0.6521739130434783,92,72,0.782608695652174,0.13023349436392917,-0.00020128824476650653,-0.13043478260869568
AVERY_06,500,364,0.728,53,38,0.7169811320754716,235,161,0.6851063829787234,0.01101886792452833,0.04289361702127659,0.031874749096748256
AVERY_07,174,140,0.8045977011494253,7,6,0.8571428571428571,47,34,0.723404255319149,-0.05254515599343179,0.08119344583027632,0.13373860182370811
AVERY_08,226,191,0.8451327433628318,17,13,0.7647058823529411,87,57,0.6551724137931034,0.08042686100989072,0.18996032956972841,0.1095334685598377
AVERY_09,202,173,0.8564356435643564,20,16,0.8,93,66,0.7096774193548387,0.056435643564356375,0.14675822420951767,0.0903225806451613
AVERY_10,501,399,0.7964071856287425,49,37,0.7551020408163265,235,176,0.7489361702127659,0.041305144812415984,0.047471015415976536,0.006165870603560553
