precinct_id,registered_total,registered_youth,voted_total_2024,voted_youth_2024,turnout_total,turnout_youth,turnout_gap,youth_share,youth_potential,nonvoting_youth
BLADEN_P15,2838,326,2030,137,0.715292459478506,0.42024539877300615,0.2950470607054998,0.11486962649753348,0.5797546012269938,189
BLADEN_P201,1451,118,1123,59,0.7739490006891798,0.5,0.2739490006891798,0.08132322536181943,0.5,59
BLADEN_P202,2408,273,1711,117,0.7105481727574751,0.42857142857142855,0.2819767441860465,0.11337209302325581,0.5714285714285714,156
BLADEN_P25,1045,109,706,48,0.6755980861244019,0.44036697247706424,0.23523111364733762,0.10430622009569378,0.5596330275229358,61
BLADEN_P30,1243,93,897,24,0.7216411906677394,0.25806451612903225,0.4635766745387071,0.07481898632341111,0.7419354838709677,69
BLADEN_P35,666,85,446,36,0.6696696696696697,0.4235294117647059,0.2461402579049638,0.12762762762762764,0.5764705882352941,49
BLADEN_P40,1729,135,1315,68,0.7605552342394447,0.5037037037037037,0.25685153053574106,0.07807981492192019,0.4962962962962963,67
BLADEN_P45,522,59,369,26,0.7068965517241379,0.4406779661016949,0.266218585622443,0.11302681992337164,0.559322033898305,33
BLADEN_P501,2850,297,2022,120,0.7094736842105264,0.40404040404040403,0.30543328017012233,0.10421052631578948,0.5959595959595959,177
BLADEN_P502,1885,179,1279,69,0.6785145888594164,0.3854748603351955,0.2930397285242209,0.09496021220159151,0.6145251396648045,110
BLADEN_P55,610,52,453,19,0.7426229508196721,0.36538461538461536,0.37723833543505675,0.08524590163934426,0.6346153846153846,33
BLADEN_P60,1534,144,1142,56,0.7444589308996089,0.3888888888888889,0.35557004201072,0.0938722294654498,0.6111111111111112,88
BLADEN_P65,600,43,492,20,0.82,0.46511627906976744,0.3548837209302325,0.07166666666666667,0.5348837209302325,23
BLADEN_P70,486,50,369,22,0.7592592592592593,0.44,0.3192592592592593,0.102880658436214,0.56,28
BLADEN_P75,1144,101,826,31,0.722027972027972,0.3069306930693069,0.41509727895866505,0.08828671328671328,0.693069306930693,70
BLADEN_P80,1213,140,822,50,0.6776586974443528,0.35714285714285715,0.32051584030149566,0.11541632316570487,0.6428571428571429,90
BRUNSWICK_CB01,2637,266,1807,104,0.6852483883200606,0.39097744360902253,0.2942709447110381,0.10087220326128175,0.6090225563909775,162
BRUNSWICK_CB02,7650,676,5352,257,0.6996078431372549,0.3801775147928994,0.3194303283443555,0.08836601307189543,0.6198224852071006,419
BRUNSWICK_CB03,3039,203,2256,86,0.7423494570582428,0.4236453201970443,0.31870413686119853,0.06679828891082593,0.5763546798029556,117
BRUNSWICK_CB04,4741,276,3448,108,0.7272727272727273,0.391304347826087,0.3359683794466403,0.05821556633621599,0.6086956521739131,168
BRUNSWICK_CB05,4125,245,3077,96,0.7459393939393939,0.39183673469387753,0.35410265924551637,0.059393939393939395,0.6081632653061224,149
BRUNSWICK_CB06,7939,430,6065,161,0.763950119662426,0.3744186046511628,0.3895315150112632,0.05416299282025444,0.6255813953488372,269
BRUNSWICK_NB01,2444,224,1656,94,0.6775777414075287,0.41964285714285715,0.25793488426467154,0.09165302782324058,0.5803571428571429,130
BRUNSWICK_NB02,9674,563,7082,193,0.732065329749845,0.3428063943161634,0.38925893543368156,0.05819722968782303,0.6571936056838366,370
BRUNSWICK_NB03,6516,562,4487,208,0.6886126457949663,0.3701067615658363,0.31850588422913,0.08624923265807244,0.6298932384341637,354
BRUNSWICK_NB04,7312,411,5685,168,0.7774890590809628,0.40875912408759124,0.36872993499337153,0.0562089715536105,0.5912408759124088,243
BRUNSWICK_NB05,4054,359,2561,110,0.6317217562900839,0.3064066852367688,0.3253150710533151,0.08855451406018747,0.6935933147632312,249
BRUNSWICK_NB06,7131,186,5819,88,0.8160145842097882,0.4731182795698925,0.34289630463989573,0.026083298275136727,0.5268817204301075,98
BRUNSWICK_NB07,10212,875,7200,379,0.7050528789659224,0.43314285714285716,0.27191002182306523,0.08568350959655308,0.5668571428571428,496
BRUNSWICK_SB01,3044,219,2063,84,0.6777266754270697,0.3835616438356164,0.29416503159145324,0.07194480946123522,0.6164383561643836,135
BRUNSWICK_SB02,5942,520,4337,219,0.7298889262874453,0.42115384615384616,0.3087350801335991,0.08751262201279031,0.5788461538461539,301
BRUNSWICK_SB03,9515,185,7905,78,0.8307934839726747,0.42162162162162165,0.4091718623510531,0.019442984760903836,0.5783783783783784,107
BRUNSWICK_SB04,4011,226,3055,88,0.7616554475193219,0.3893805309734513,0.3722749165458706,0.05634505110944901,0.6106194690265486,138
BRUNSWICK_SB05,3732,239,2823,96,0.7564308681672026,0.401673640167364,0.3547572279998386,0.06404072883172561,0.5983263598326359,143
BRUNSWICK_SB06,3702,167,2941,82,0.7944354403025392,0.49101796407185627,0.30341747623068294,0.0451107509454349,0.5089820359281437,85
BRUNSWICK_SB07,3518,172,2798,77,0.7953382603752132,0.4476744186046512,0.347663841770562,0.0488914155770324,0.5523255813953488,95
BRUNSWICK_SB08,2252,111,1834,63,0.8143872113676732,0.5675675675675675,0.24681964380010568,0.049289520426287745,0.43243243243243246,48
BRUNSWICK_WB01,2171,248,1588,116,0.7314601566098572,0.46774193548387094,0.26371822112598625,0.11423307231690465,0.532258064516129,132
BRUNSWICK_WB02,8030,207,5855,78,0.7291407222914073,0.37681159420289856,0.3523291280885087,0.025778331257783314,0.6231884057971014,129
BRUNSWICK_WB03,1652,150,1164,61,0.7046004842615012,0.4066666666666667,0.29793381759483456,0.09079903147699758,0.5933333333333334,89
BRUNSWICK_WB04,8495,311,6218,131,0.7319599764567393,0.4212218649517685,0.31073811150497077,0.03660977045320777,0.5787781350482315,180
BRUNSWICK_WB05,5395,154,4195,61,0.7775718257645968,0.3961038961038961,0.3814679296607007,0.028544949026876737,0.6038961038961039,93
BRUNSWICK_WB06,8232,371,6571,184,0.798226433430515,0.49595687331536387,0.30226956011515116,0.045068027210884355,0.5040431266846361,187
BUNCOMBE_01.1,2372,92,1537,42,0.6479763912310287,0.45652173913043476,0.19145465210059393,0.0387858347386172,0.5434782608695652,50
BUNCOMBE_02.1,3400,317,2240,156,0.6588235294117647,0.4921135646687697,0.166709964742995,0.09323529411764706,0.5078864353312302,161
BUNCOMBE_03.1,2388,157,1695,81,0.7097989949748744,0.5159235668789809,0.19387542809589353,0.06574539363484087,0.4840764331210191,76
BUNCOMBE_04.1,1479,110,1193,58,0.8066260987153482,0.5272727272727272,0.27935337144262096,0.07437457741717377,0.4727272727272727,52
BUNCOMBE_05.1,2766,274,2240,148,0.8098336948662328,0.5401459854014599,0.26968770946477294,0.09906001446131597,0.45985401459854014,126
BUNCOMBE_06.1,1486,85,1169,36,0.7866756393001346,0.4235294117647059,0.36314622753542875,0.05720053835800808,0.5764705882352941,49
BUNCOMBE_07.1,2003,131,1483,59,0.7403894158761857,0.45038167938931295,0.2900077364868727,0.0654018971542686,0.549618320610687,72
BUNCOMBE_08.2,2889,241,1876,94,0.6493596400138456,0.3900414937759336,0.259318146237912,0.08341986846659744,0.6099585062240664,147
BUNCOMBE_08.3,2786,174,2034,74,0.7300789662598708,0.42528735632183906,0.3047916099380317,0.0624551328068916,0.5747126436781609,100
BUNCOMBE_09.1,4486,307,2886,116,0.6433348194382523,0.3778501628664495,0.2654846565718028,0.06843513152028534,0.6221498371335505,191
BUNCOMBE_10.1,1685,148,1034,52,0.6136498516320474,0.35135135135135137,0.26229850028069607,0.08783382789317508,0.6486486486486487,96
BUNCOMBE_11.1,2742,93,1078,26,0.39314369073668853,0.27956989247311825,0.11357379826357028,0.03391684901531729,0.7204301075268817,67
BUNCOMBE_12.1,2674,124,1975,57,0.7385938668661182,0.4596774193548387,0.2789164475112795,0.04637247569184742,0.5403225806451613,67
BUNCOMBE_13.1,2572,163,1649,65,0.6411353032659409,0.3987730061349693,0.24236229713097163,0.06337480559875583,0.6012269938650306,98
BUNCOMBE_14.2,2698,181,1816,76,0.6730911786508524,0.4198895027624309,0.2532016758884215,0.0670867309117865,0.580110497237569,105
BUNCOMBE_14.3,1400,138,821,67,0.5864285714285714,0.4855072463768116,0.10092132505175982,0.09857142857142857,0.5144927536231884,71
